"","Make","Model","Year","Engine.Fuel.Type","Engine.HP","Engine.Cylinders","Transmission.Type","Driven_Wheels","Number.of.Doors","Market.Category","Vehicle.Size","Vehicle.Style","highway.MPG","city.mpg","Popularity","MSRP","MSRP_range"
"5462","Volkswagen","Golf",2016,"regular unleaded",170,4,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",37,25,873,18495,"(1e+04,2e+04]"
"5463","Volkswagen","Golf",2016,"regular unleaded",170,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",36,25,873,25225,"(2e+04,4e+04]"
"5464","Volkswagen","Golf",2016,"regular unleaded",170,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",37,25,873,20175,"(2e+04,4e+04]"
"5465","Volkswagen","Golf",2016,"regular unleaded",170,4,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",37,25,873,19575,"(1e+04,2e+04]"
"5466","Volkswagen","Golf",2016,"regular unleaded",170,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",36,25,873,21275,"(2e+04,4e+04]"
"5467","Volkswagen","Golf",2017,"regular unleaded",170,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,25,873,20995,"(2e+04,4e+04]"
"5468","Volkswagen","Golf",2017,"regular unleaded",170,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,25,873,22695,"(2e+04,4e+04]"
"5469","Volkswagen","Golf",2017,"regular unleaded",170,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",36,25,873,21595,"(2e+04,4e+04]"
"5470","Volkswagen","Golf",2017,"regular unleaded",170,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",36,25,873,19895,"(1e+04,2e+04]"
"5471","Pontiac","Grand Am",2003,"regular unleaded",175,6,"AUTOMATIC","front wheel drive",2,"N/A","Midsize","Coupe",27,18,210,22940,"(2e+04,4e+04]"
"5472","Pontiac","Grand Am",2003,"regular unleaded",175,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",27,18,210,21690,"(2e+04,4e+04]"
"5473","Pontiac","Grand Am",2003,"regular unleaded",140,4,"MANUAL","front wheel drive",4,"N/A","Midsize","Sedan",30,22,210,17070,"(1e+04,2e+04]"
"5474","Pontiac","Grand Am",2003,"regular unleaded",170,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",27,18,210,21240,"(2e+04,4e+04]"
"5475","Pontiac","Grand Am",2003,"regular unleaded",175,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",27,18,210,22940,"(2e+04,4e+04]"
"5476","Pontiac","Grand Am",2003,"regular unleaded",175,6,"AUTOMATIC","front wheel drive",2,"N/A","Midsize","Coupe",27,18,210,21690,"(2e+04,4e+04]"
"5477","Pontiac","Grand Am",2003,"regular unleaded",140,4,"MANUAL","front wheel drive",4,"N/A","Midsize","Sedan",30,22,210,18890,"(1e+04,2e+04]"
"5478","Pontiac","Grand Am",2004,"regular unleaded",140,4,"MANUAL","front wheel drive",4,"N/A","Midsize","Sedan",33,23,210,17070,"(1e+04,2e+04]"
"5479","Pontiac","Grand Am",2004,"regular unleaded",175,6,"AUTOMATIC","front wheel drive",2,"N/A","Midsize","Coupe",27,18,210,23530,"(2e+04,4e+04]"
"5480","Pontiac","Grand Am",2004,"regular unleaded",175,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",27,18,210,22280,"(2e+04,4e+04]"
"5481","Pontiac","Grand Am",2004,"regular unleaded",175,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",27,18,210,23530,"(2e+04,4e+04]"
"5482","Pontiac","Grand Am",2004,"regular unleaded",170,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",27,18,210,21830,"(2e+04,4e+04]"
"5483","Pontiac","Grand Am",2004,"regular unleaded",140,4,"MANUAL","front wheel drive",4,"N/A","Midsize","Sedan",33,23,210,19555,"(1e+04,2e+04]"
"5484","Pontiac","Grand Am",2004,"regular unleaded",175,6,"AUTOMATIC","front wheel drive",2,"N/A","Midsize","Coupe",27,18,210,22280,"(2e+04,4e+04]"
"5485","Pontiac","Grand Am",2005,"regular unleaded",175,6,"AUTOMATIC","front wheel drive",2,"N/A","Midsize","Coupe",27,18,210,23750,"(2e+04,4e+04]"
"5486","Pontiac","Grand Am",2005,"regular unleaded",175,6,"AUTOMATIC","front wheel drive",2,"N/A","Midsize","Coupe",27,18,210,22500,"(2e+04,4e+04]"
"5487","Pontiac","Grand Am",2005,"regular unleaded",140,4,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",31,22,210,20090,"(2e+04,4e+04]"
"5488","Dodge","Grand Caravan",2015,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Passenger Minivan",25,17,1851,30995,"(2e+04,4e+04]"
"5489","Dodge","Grand Caravan",2015,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Passenger Minivan",25,17,1851,27395,"(2e+04,4e+04]"
"5490","Dodge","Grand Caravan",2015,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Passenger Minivan",25,17,1851,21795,"(2e+04,4e+04]"
"5491","Dodge","Grand Caravan",2015,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Passenger Minivan",25,17,1851,24245,"(2e+04,4e+04]"
"5492","Dodge","Grand Caravan",2015,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Passenger Minivan",25,17,1851,28395,"(2e+04,4e+04]"
"5493","Dodge","Grand Caravan",2015,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Passenger Minivan",25,17,1851,25245,"(2e+04,4e+04]"
"5494","Dodge","Grand Caravan",2016,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Passenger Minivan",25,17,1851,25095,"(2e+04,4e+04]"
"5495","Dodge","Grand Caravan",2016,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Passenger Minivan",25,17,1851,22595,"(2e+04,4e+04]"
"5496","Dodge","Grand Caravan",2016,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Passenger Minivan",25,17,1851,28295,"(2e+04,4e+04]"
"5497","Dodge","Grand Caravan",2016,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Passenger Minivan",25,17,1851,31495,"(2e+04,4e+04]"
"5498","Dodge","Grand Caravan",2016,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Passenger Minivan",25,17,1851,26195,"(2e+04,4e+04]"
"5499","Dodge","Grand Caravan",2016,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Passenger Minivan",25,17,1851,29395,"(2e+04,4e+04]"
"5500","Dodge","Grand Caravan",2017,"regular unleaded",283,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Passenger Minivan",25,17,1851,29395,"(2e+04,4e+04]"
"5501","Dodge","Grand Caravan",2017,"regular unleaded",283,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Passenger Minivan",25,17,1851,26695,"(2e+04,4e+04]"
"5502","Dodge","Grand Caravan",2017,"regular unleaded",283,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Passenger Minivan",25,17,1851,32395,"(2e+04,4e+04]"
"5503","Dodge","Grand Caravan",2017,"regular unleaded",283,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Passenger Minivan",25,17,1851,23995,"(2e+04,4e+04]"
"5504","Pontiac","Grand Prix",2006,"regular unleaded",260,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",26,17,210,24330,"(2e+04,4e+04]"
"5505","Pontiac","Grand Prix",2006,"regular unleaded",303,8,"AUTOMATIC","front wheel drive",4,"Factory Tuner,High-Performance","Midsize","Sedan",25,16,210,27330,"(2e+04,4e+04]"
"5506","Pontiac","Grand Prix",2006,"regular unleaded",200,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",28,18,210,21330,"(2e+04,4e+04]"
"5507","Pontiac","Grand Prix",2007,"regular unleaded",303,8,"AUTOMATIC","front wheel drive",4,"Factory Tuner,High-Performance","Midsize","Sedan",25,16,210,28815,"(2e+04,4e+04]"
"5508","Pontiac","Grand Prix",2007,"regular unleaded",260,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",26,17,210,24735,"(2e+04,4e+04]"
"5509","Pontiac","Grand Prix",2007,"regular unleaded",200,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",28,18,210,21815,"(2e+04,4e+04]"
"5510","Pontiac","Grand Prix",2008,"regular unleaded",200,6,"AUTOMATIC","front wheel drive",4,"N/A","Large","Sedan",28,18,210,22210,"(2e+04,4e+04]"
"5511","Pontiac","Grand Prix",2008,"regular unleaded",303,8,"AUTOMATIC","front wheel drive",4,"Factory Tuner,High-Performance","Large","Sedan",25,16,210,29325,"(2e+04,4e+04]"
"5512","Suzuki","Grand Vitara",2011,"regular unleaded",166,4,"AUTOMATIC","rear wheel drive",4,"Crossover","Compact","4dr SUV",25,19,481,23449,"(2e+04,4e+04]"
"5513","Suzuki","Grand Vitara",2011,"regular unleaded",166,4,"AUTOMATIC","four wheel drive",4,"Crossover","Compact","4dr SUV",23,19,481,24949,"(2e+04,4e+04]"
"5514","Suzuki","Grand Vitara",2011,"regular unleaded",166,4,"MANUAL","rear wheel drive",4,"Crossover","Compact","4dr SUV",26,19,481,19299,"(1e+04,2e+04]"
"5515","Suzuki","Grand Vitara",2011,"regular unleaded",166,4,"AUTOMATIC","four wheel drive",4,"Crossover","Compact","4dr SUV",23,19,481,22549,"(2e+04,4e+04]"
"5516","Suzuki","Grand Vitara",2011,"regular unleaded",166,4,"AUTOMATIC","four wheel drive",4,"Crossover","Compact","4dr SUV",23,19,481,22899,"(2e+04,4e+04]"
"5517","Suzuki","Grand Vitara",2011,"regular unleaded",166,4,"AUTOMATIC","rear wheel drive",4,"Crossover","Compact","4dr SUV",25,19,481,21099,"(2e+04,4e+04]"
"5518","Suzuki","Grand Vitara",2012,"regular unleaded",166,4,"AUTOMATIC","four wheel drive",4,"Crossover","Compact","4dr SUV",23,19,481,23949,"(2e+04,4e+04]"
"5519","Suzuki","Grand Vitara",2012,"regular unleaded",166,4,"AUTOMATIC","rear wheel drive",4,"Crossover","Compact","4dr SUV",25,19,481,21399,"(2e+04,4e+04]"
"5520","Suzuki","Grand Vitara",2012,"regular unleaded",166,4,"AUTOMATIC","four wheel drive",4,"Crossover","Compact","4dr SUV",23,19,481,25249,"(2e+04,4e+04]"
"5521","Suzuki","Grand Vitara",2012,"regular unleaded",166,4,"AUTOMATIC","rear wheel drive",4,"Crossover","Compact","4dr SUV",25,19,481,22299,"(2e+04,4e+04]"
"5522","Suzuki","Grand Vitara",2012,"regular unleaded",166,4,"MANUAL","rear wheel drive",4,"Crossover","Compact","4dr SUV",26,19,481,19499,"(1e+04,2e+04]"
"5523","Suzuki","Grand Vitara",2012,"regular unleaded",166,4,"AUTOMATIC","four wheel drive",4,"Crossover","Compact","4dr SUV",23,19,481,22849,"(2e+04,4e+04]"
"5524","Suzuki","Grand Vitara",2012,"regular unleaded",166,4,"AUTOMATIC","rear wheel drive",4,"Crossover","Compact","4dr SUV",25,19,481,23749,"(2e+04,4e+04]"
"5525","Suzuki","Grand Vitara",2013,"regular unleaded",166,4,"AUTOMATIC","four wheel drive",4,"Crossover","Compact","4dr SUV",23,19,481,23799,"(2e+04,4e+04]"
"5526","Suzuki","Grand Vitara",2013,"regular unleaded",166,4,"AUTOMATIC","four wheel drive",4,"Crossover","Compact","4dr SUV",23,19,481,25949,"(2e+04,4e+04]"
"5527","Suzuki","Grand Vitara",2013,"regular unleaded",166,4,"AUTOMATIC","rear wheel drive",4,"Crossover","Compact","4dr SUV",25,19,481,22349,"(2e+04,4e+04]"
"5528","Suzuki","Grand Vitara",2013,"regular unleaded",166,4,"MANUAL","rear wheel drive",4,"Crossover","Compact","4dr SUV",26,19,481,19949,"(1e+04,2e+04]"
"5529","Suzuki","Grand Vitara",2013,"regular unleaded",166,4,"AUTOMATIC","rear wheel drive",4,"Crossover","Compact","4dr SUV",25,19,481,24449,"(2e+04,4e+04]"
"5540","Maserati","GranSport",2005,"premium unleaded (required)",395,8,"AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,Factory Tuner,Luxury,High-Performance","Compact","Coupe",16,11,238,98172,"(8e+04,1e+05]"
"5541","Maserati","GranSport",2006,"premium unleaded (required)",401,8,"AUTOMATIC","rear wheel drive",2,"Exotic,Factory Tuner,Luxury,High-Performance","Compact","Coupe",18,11,238,98872,"(8e+04,1e+05]"
"5542","Maserati","GranSport",2006,"premium unleaded (required)",401,8,"AUTOMATIC","rear wheel drive",2,"Exotic,Factory Tuner,Luxury,High-Performance","Compact","Coupe",18,11,238,104122,"(1e+05,1.5e+05]"
"5543","Maserati","GranSport",2006,"premium unleaded (required)",401,8,"AUTOMATIC","rear wheel drive",2,"Exotic,Factory Tuner,Luxury,High-Performance","Compact","Convertible",18,11,238,99900,"(8e+04,1e+05]"
"5544","Maserati","GranTurismo Convertible",2014,"premium unleaded (required)",454,8,"AUTOMATIC","rear wheel drive",2,"Exotic,Luxury,High-Performance","Midsize","Convertible",20,13,238,143300,"(1e+05,1.5e+05]"
"5546","Maserati","GranTurismo Convertible",2014,"premium unleaded (required)",444,8,"AUTOMATIC","rear wheel drive",2,"Exotic,Luxury,High-Performance","Midsize","Convertible",20,13,238,138800,"(1e+05,1.5e+05]"
"5550","Maserati","GranTurismo Convertible",2015,"premium unleaded (required)",444,8,"AUTOMATIC","rear wheel drive",2,"Exotic,Luxury,High-Performance","Midsize","Convertible",20,13,238,145740,"(1e+05,1.5e+05]"
"5553","Maserati","GranTurismo Convertible",2016,"premium unleaded (required)",444,8,"AUTOMATIC","rear wheel drive",2,"Exotic,Luxury,High-Performance","Midsize","Convertible",20,13,238,145740,"(1e+05,1.5e+05]"
"5555","Maserati","GranTurismo",2014,"premium unleaded (required)",454,8,"AUTOMATIC","rear wheel drive",2,"Exotic,Factory Tuner,Luxury,High-Performance","Large","Coupe",21,13,238,143400,"(1e+05,1.5e+05]"
"5556","Maserati","GranTurismo",2014,"premium unleaded (required)",454,8,"AUTOMATIC","rear wheel drive",2,"Exotic,Luxury,High-Performance","Large","Coupe",21,13,238,126500,"(1e+05,1.5e+05]"
"5557","Maserati","GranTurismo",2015,"premium unleaded (required)",454,8,"AUTOMATIC","rear wheel drive",2,"Exotic,Luxury,High-Performance","Large","Coupe",21,13,238,132825,"(1e+05,1.5e+05]"
"5561","Maserati","GranTurismo",2016,"premium unleaded (required)",454,8,"AUTOMATIC","rear wheel drive",2,"Exotic,Luxury,High-Performance","Large","Coupe",21,13,238,132825,"(1e+05,1.5e+05]"
"5563","Lexus","GS 200t",2016,"premium unleaded (required)",241,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",30,21,454,53285,"(4e+04,6e+04]"
"5564","Lexus","GS 200t",2016,"premium unleaded (required)",241,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",33,22,454,45615,"(4e+04,6e+04]"
"5565","Lexus","GS 200t",2017,"premium unleaded (required)",241,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",32,22,454,46310,"(4e+04,6e+04]"
"5566","Lexus","GS 200t",2017,"premium unleaded (required)",241,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",30,21,454,53980,"(4e+04,6e+04]"
"5567","Lexus","GS 300",2004,"premium unleaded (required)",220,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",23,16,454,38875,"(2e+04,4e+04]"
"5568","Lexus","GS 300",2005,"premium unleaded (required)",220,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",23,16,454,38875,"(2e+04,4e+04]"
"5569","Lexus","GS 300",2006,"premium unleaded (required)",245,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",27,19,454,43150,"(4e+04,6e+04]"
"5570","Lexus","GS 300",2006,"premium unleaded (required)",245,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",25,19,454,45100,"(4e+04,6e+04]"
"5571","Lexus","GS 350",2015,"premium unleaded (required)",306,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",29,19,454,55070,"(4e+04,6e+04]"
"5572","Lexus","GS 350",2015,"premium unleaded (required)",306,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",29,19,454,48600,"(4e+04,6e+04]"
"5573","Lexus","GS 350",2015,"premium unleaded (required)",306,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",26,19,454,57330,"(4e+04,6e+04]"
"5574","Lexus","GS 350",2015,"premium unleaded (required)",306,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",26,19,454,50850,"(4e+04,6e+04]"
"5575","Lexus","GS 350",2016,"premium unleaded (required)",311,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",29,20,454,50000,"(4e+04,6e+04]"
"5576","Lexus","GS 350",2016,"premium unleaded (required)",311,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",28,19,454,54115,"(4e+04,6e+04]"
"5577","Lexus","GS 350",2016,"premium unleaded (required)",311,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",26,19,454,50470,"(4e+04,6e+04]"
"5578","Lexus","GS 350",2017,"premium unleaded (required)",311,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",28,20,454,50695,"(4e+04,6e+04]"
"5579","Lexus","GS 350",2017,"premium unleaded (required)",311,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",27,19,454,54810,"(4e+04,6e+04]"
"5580","Lexus","GS 350",2017,"premium unleaded (required)",311,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",26,19,454,50365,"(4e+04,6e+04]"
"5581","Lexus","GS 350",2017,"premium unleaded (required)",311,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",26,19,454,56555,"(4e+04,6e+04]"
"5582","Lexus","GS 400",1998,"regular unleaded",300,8,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",21,15,454,3542,"(0,1e+04]"
"5583","Lexus","GS 400",1999,"regular unleaded",300,8,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",22,16,454,3741,"(0,1e+04]"
"5584","Lexus","GS 400",2000,"regular unleaded",300,8,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",22,16,454,3965,"(0,1e+04]"
"5585","Lexus","GS 430",2005,"premium unleaded (required)",300,8,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",22,16,454,47975,"(4e+04,6e+04]"
"5586","Lexus","GS 430",2006,"premium unleaded (required)",300,8,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",23,16,454,51375,"(4e+04,6e+04]"
"5587","Lexus","GS 430",2007,"premium unleaded (required)",290,8,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",23,16,454,52375,"(4e+04,6e+04]"
"5588","Lexus","GS 450h",2014,"premium unleaded (required)",338,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance,Hybrid","Midsize","Sedan",34,29,454,60430,"(6e+04,8e+04]"
"5589","Lexus","GS 450h",2015,"premium unleaded (required)",338,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance,Hybrid","Midsize","Sedan",34,29,454,61330,"(6e+04,8e+04]"
"5590","Lexus","GS 450h",2016,"premium unleaded (required)",338,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance,Hybrid","Midsize","Sedan",34,29,454,63080,"(6e+04,8e+04]"
"5591","Lexus","GS 460",2009,"premium unleaded (required)",342,8,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",24,17,454,53470,"(4e+04,6e+04]"
"5592","Lexus","GS 460",2010,"premium unleaded (required)",342,8,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",24,17,454,54070,"(4e+04,6e+04]"
"5593","Lexus","GS 460",2011,"premium unleaded (required)",342,8,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",24,17,454,55370,"(4e+04,6e+04]"
"5594","Lexus","GS F",2016,"premium unleaded (required)",467,8,"AUTOMATIC","rear wheel drive",4,"Factory Tuner,Luxury,High-Performance","Midsize","Sedan",24,16,454,84440,"(8e+04,1e+05]"
"5595","Nissan","GT-R",2015,"premium unleaded (recommended)",545,6,"AUTOMATED_MANUAL","all wheel drive",2,"High-Performance","Midsize","Coupe",23,16,2009,111510,"(1e+05,1.5e+05]"
"5596","Nissan","GT-R",2015,"premium unleaded (recommended)",545,6,"AUTOMATED_MANUAL","all wheel drive",2,"High-Performance","Midsize","Coupe",23,16,2009,115710,"(1e+05,1.5e+05]"
"5597","Nissan","GT-R",2015,"premium unleaded (recommended)",545,6,"AUTOMATED_MANUAL","all wheel drive",2,"High-Performance","Midsize","Coupe",23,16,2009,101770,"(1e+05,1.5e+05]"
"5598","Nissan","GT-R",2015,"premium unleaded (recommended)",600,6,"AUTOMATED_MANUAL","all wheel drive",2,"Factory Tuner,High-Performance","Midsize","Coupe",23,16,2009,149990,"(1e+05,1.5e+05]"
"5599","Nissan","GT-R",2016,"premium unleaded (required)",545,6,"AUTOMATED_MANUAL","all wheel drive",2,"High-Performance","Midsize","Coupe",22,16,2009,111510,"(1e+05,1.5e+05]"
"5600","Nissan","GT-R",2016,"premium unleaded (required)",600,6,"AUTOMATED_MANUAL","all wheel drive",2,"Factory Tuner,High-Performance","Midsize","Coupe",22,16,2009,149990,"(1e+05,1.5e+05]"
"5601","Nissan","GT-R",2016,"premium unleaded (required)",545,6,"AUTOMATED_MANUAL","all wheel drive",2,"High-Performance","Midsize","Coupe",22,16,2009,101770,"(1e+05,1.5e+05]"
"5602","Nissan","GT-R",2017,"premium unleaded (required)",565,6,"AUTOMATED_MANUAL","all wheel drive",2,"High-Performance","Midsize","Coupe",22,16,2009,109990,"(1e+05,1.5e+05]"
"5603","Ford","GT",2005,"premium unleaded (required)",550,8,"MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Coupe",19,12,5657,149995,"(1e+05,1.5e+05]"
"5604","Ford","GT",2006,"premium unleaded (required)",550,8,"MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Coupe",19,12,5657,149995,"(1e+05,1.5e+05]"
"5605","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",31,21,873,26275,"(2e+04,4e+04]"
"5606","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"AUTOMATED_MANUAL","front wheel drive",4,"Hatchback,Performance","Compact","4dr Hatchback",33,24,873,31695,"(2e+04,4e+04]"
"5607","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"MANUAL","front wheel drive",4,"Hatchback,Performance","Compact","4dr Hatchback",31,21,873,24595,"(2e+04,4e+04]"
"5608","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"AUTOMATED_MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",33,24,873,25095,"(2e+04,4e+04]"
"5609","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"AUTOMATED_MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",33,24,873,27375,"(2e+04,4e+04]"
"5610","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"AUTOMATED_MANUAL","front wheel drive",4,"Hatchback,Performance","Compact","4dr Hatchback",33,24,873,31695,"(2e+04,4e+04]"
"5611","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",31,21,873,29995,"(2e+04,4e+04]"
"5612","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"AUTOMATED_MANUAL","front wheel drive",4,"Hatchback,Performance","Compact","4dr Hatchback",33,24,873,29545,"(2e+04,4e+04]"
"5613","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",31,21,873,27845,"(2e+04,4e+04]"
"5614","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"AUTOMATED_MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",33,24,873,31095,"(2e+04,4e+04]"
"5615","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"MANUAL","front wheel drive",4,"Hatchback,Performance","Compact","4dr Hatchback",31,21,873,28445,"(2e+04,4e+04]"
"5616","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",31,21,873,27845,"(2e+04,4e+04]"
"5617","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"AUTOMATED_MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",33,24,873,25095,"(2e+04,4e+04]"
"5618","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"MANUAL","front wheel drive",4,"Hatchback,Performance","Compact","4dr Hatchback",31,21,873,24595,"(2e+04,4e+04]"
"5619","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"AUTOMATED_MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",33,24,873,28945,"(2e+04,4e+04]"
"5620","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",31,21,873,23995,"(2e+04,4e+04]"
"5621","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"AUTOMATED_MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",33,24,873,27375,"(2e+04,4e+04]"
"5622","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"AUTOMATED_MANUAL","front wheel drive",4,"Hatchback,Performance","Compact","4dr Hatchback",33,24,873,29545,"(2e+04,4e+04]"
"5623","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",31,21,873,29995,"(2e+04,4e+04]"
"5624","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",31,21,873,23995,"(2e+04,4e+04]"
"5625","Volkswagen","GTI",2012,"premium unleaded (recommended)",200,4,"AUTOMATED_MANUAL","front wheel drive",4,"Hatchback,Performance","Compact","4dr Hatchback",33,24,873,25695,"(2e+04,4e+04]"
